0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,1,0,39,11,3,8,42,0,8,5,0,5,4,5,NaN
0,0,0,0,18,36,82,97,55,1,9,3,0,14,0,39,NaN
1,1,0,0,20,2,32,0,0,0,0,7,27,15,42,10,NaN
1,1,0,0,2,0,0,0,32,8,13,0,15,8,12,2,NaN
2,0,0,1,2,0,18,55,18,1,17,6,26,12,0,13,NaN
2,0,0,0,50,16,2,32,9,20,15,1,7,1,1,48,NaN
2,0,0,2,2,57,48,71,5,30,18,0,28,16,26,4,NaN
3,0,0,0,0,30,62,1,0,43,19,10,0,15,0,12,NaN
69,1,1,0,0,16,36,25,2,5,12,1,18,1,1,5,NaN
0,12,0,1,2,4,29,12,11,12,5,0,7,21,0,2,NaN
0,0,0,1,1,25,72,51,18,5,3,10,0,6,3,6,NaN
2,0,1,1,0,0,12,19,41,2,14,1,14,11,10,8,NaN
1,0,0,0,0,5,7,4,24,1,10,2,10,2,2,18,NaN
0,1,0,0,16,2,1,5,7,14,3,8,1,3,0,16,NaN
0,1,0,0,0,0,19,58,10,1,4,0,0,5,11,23,NaN
0,0,1,0,1,0,6,0,2,8,33,5,4,10,58,24,NaN
