Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,tryptCond1,tryptCond2,tryptCond3,tryptCond4,tryptCond5
123,DUSP1_TPL,O,0.0,0,,7132,9191.0,,,1090.46453,1091.042,15.0,34.0,,,,,1,2,3,4,5
124,DUSP1_TPL,O,0.0,0,,8449,15831.0,,,1266.44798,1199.51892,58.0,81.0,,,,,1,2,3,4,5
125,DUSP1_TPL,O,0.0,0,,6837,7640.0,,,1024.60421,1008.85079,13.0,13.0,,,,,1,2,3,4,5
126,DUSP1_TPL,O,0.0,0,,8325,14817.0,,,1271.5242,1229.05689,50.0,74.0,,,,,1,2,3,4,5
127,DUSP1_TPL,O,0.0,0,,6599,6744.0,,,1331.44704,1301.14235,28.0,33.0,,,,,1,2,3,4,5
128,DUSP1_TPL,O,0.0,0,,8629,12052.0,,,1109.73404,1071.81215,30.0,27.0,,,,,1,2,3,4,5
129,DUSP1_TPL,O,0.0,0,,8704,16688.0,,,1026.24483,998.55058,24.0,48.0,,,,,1,2,3,4,5
130,DUSP1_TPL,O,0.0,0,,8374,12409.0,,,1080.39444,1047.14489,18.0,34.0,,,,,1,2,3,4,5
131,DUSP1_TPL,O,0.0,0,,7791,9750.0,,,1017.19369,1017.89333,15.0,41.0,,,,,1,2,3,4,5
132,DUSP1_TPL,O,0.0,0,,8114,7098.0,,,1271.24143,1290.20978,40.0,49.0,,,,,1,2,3,4,5
133,DUSP1_TPL,O,0.0,0,,7181,6749.0,,,1324.42083,1339.09927,50.0,62.0,,,,,1,2,3,4,5
134,DUSP1_TPL,O,0.0,0,,6893,10685.0,,,1377.87349,1355.42162,47.0,63.0,,,,,1,2,3,4,5
135,DUSP1_TPL,O,0.0,0,,7190,6816.0,,,1460.94729,1403.2387,74.0,57.0,5.0,,,,1,2,3,4,5
136,DUSP1_TPL,O,0.0,0,,7989,11523.0,,,1321.70785,1312.42532,58.0,75.0,,,,,1,2,3,4,5
137,DUSP1_TPL,O,0.0,0,,8102,12077.0,,,1437.6702,1396.25942,44.0,79.0,,,,,1,2,3,4,5
138,DUSP1_TPL,O,0.0,0,,8230,12414.0,,,1250.51798,1228.66336,24.0,53.0,,,,,1,2,3,4,5
139,DUSP1_TPL,O,0.0,0,,7172,15297.0,,,1422.7737,1404.11074,30.0,80.0,,,,,1,2,3,4,5
140,DUSP1_TPL,O,0.0,0,,7957,9592.0,,,1176.77177,1127.5099,17.0,23.0,,,,,1,2,3,4,5
141,DUSP1_TPL,O,0.0,0,,7930,14319.0,,,1349.62484,1279.42217,30.0,37.0,,,,,1,2,3,4,5
142,DUSP1_TPL,O,0.0,0,,6981,14109.0,,,1243.3743,1245.48005,39.0,61.0,,,,,1,2,3,4,5
143,DUSP1_TPL,O,0.0,0,,6418,9280.0,,,1162.07214,1110.08481,12.0,16.0,,,,,1,2,3,4,5
144,DUSP1_TPL,O,0.0,0,,8690,21571.0,,,1230.80012,1243.77706,24.0,64.0,,,,,1,2,3,4,5
145,DUSP1_TPL,O,0.0,0,,8683,18537.0,,,1322.13532,1313.40427,71.0,125.0,,,,,1,2,3,4,5
146,DUSP1_TPL,O,0.0,0,,7332,3911.0,,,1112.77932,1149.17668,22.0,20.0,4.0,,,,1,2,3,4,5
147,DUSP1_TPL,O,0.0,0,,7864,16831.0,,,1307.14725,1270.58719,41.0,87.0,,,,,1,2,3,4,5
148,DUSP1_TPL,O,0.0,0,,6222,11287.0,,,1353.63115,1332.6542,16.0,27.0,,,,,1,2,3,4,5
149,DUSP1_TPL,O,0.0,0,,6472,9963.0,,,1160.49119,1143.22262,26.0,37.0,,,,,1,2,3,4,5
150,DUSP1_TPL,O,0.0,0,,6674,8826.0,,,1303.73869,1253.17596,13.0,17.0,,,,,1,2,3,4,5
151,DUSP1_TPL,O,0.0,0,,7826,11433.0,,,993.00818,976.53302,12.0,25.0,,,,,1,2,3,4,5
152,DUSP1_TPL,O,0.0,0,,8747,15530.0,,,1287.14325,1312.56117,51.0,133.0,,,,,1,2,3,4,5
153,DUSP1_TPL,O,0.0,0,,7681,12648.0,,,1252.06601,1223.85848,45.0,49.0,,,,,1,2,3,4,5
154,DUSP1_TPL,O,0.0,0,,7149,11934.0,,,1113.67898,1103.86216,17.0,21.0,,,,,1,2,3,4,5
155,DUSP1_TPL,O,0.0,0,,8588,16193.0,,,1426.88705,1368.45946,73.0,109.0,,,,,1,2,3,4,5
156,DUSP1_TPL,O,0.0,0,,8447,11733.0,,,1377.71576,1322.04159,70.0,70.0,,,,,1,2,3,4,5
157,DUSP1_TPL,O,0.0,0,,7990,10613.0,,,1408.29687,1355.98125,28.0,21.0,,,,,1,2,3,4,5
158,DUSP1_TPL,O,0.0,0,,7902,11140.0,,,1249.32485,1212.66284,13.0,25.0,,,,,1,2,3,4,5
159,DUSP1_TPL,O,0.0,0,,7448,13473.0,,,1113.83969,1112.76494,17.0,22.0,,,,,1,2,3,4,5
160,DUSP1_TPL,O,0.0,0,,6565,9131.0,,,1043.77487,1034.92717,16.0,23.0,,,,,1,2,3,4,5
161,DUSP1_TPL,O,0.0,0,,7976,19694.0,,,1148.86447,1123.71448,24.0,47.0,,,,,1,2,3,4,5
162,DUSP1_TPL,O,0.0,0,,6756,10385.0,,,1011.4325,1055.07935,8.0,23.0,,,,,1,2,3,4,5
163,DUSP1_TPL,O,0.0,0,,7859,2391.0,,,1025.97811,1031.74195,14.0,6.0,,,,,1,2,3,4,5
164,DUSP1_TPL,O,0.0,0,,7516,10411.0,,,1322.01464,1269.79906,31.0,42.0,,,,,1,2,3,4,5
165,DUSP1_TPL,O,0.0,0,,6593,5954.0,,,1330.66267,1278.57138,27.0,18.0,4.0,,,,1,2,3,4,5
166,DUSP1_TPL,O,0.0,0,,8199,16609.0,,,1298.35321,1318.02306,21.0,59.0,,,,,1,2,3,4,5
167,DUSP1_TPL,O,0.0,0,,7466,10853.0,,,1382.48982,1351.36709,41.0,47.0,,,,,1,2,3,4,5
168,DUSP1_TPL,O,0.0,0,,7148,11840.0,,,1222.77084,1196.84586,13.0,27.0,,,,,1,2,3,4,5
169,DUSP1_TPL,O,0.0,0,,8644,15199.0,,,1316.11141,1336.2789,18.0,37.0,,,,,1,2,3,4,5
170,DUSP1_TPL,O,0.0,0,,7866,12968.0,,,1361.80486,1350.30953,21.0,39.0,,,,,1,2,3,4,5
171,DUSP1_TPL,O,0.0,0,,8141,16442.0,,,1342.78258,1301.26402,32.0,52.0,,,,,1,2,3,4,5
172,DUSP1_TPL,O,0.0,0,,7291,13952.0,,,1230.83925,1201.49491,14.0,29.0,,,,,1,2,3,4,5
173,DUSP1_TPL,O,0.0,0,,7237,10918.0,,,1153.47409,1160.98965,20.0,23.0,,,,,1,2,3,4,5
174,DUSP1_TPL,O,0.0,0,,8645,14107.0,,,1118.62984,1075.17708,8.0,20.0,,,,,1,2,3,4,5
175,DUSP1_TPL,O,0.0,0,,6316,9517.0,,,1409.81966,1434.98624,39.0,88.0,,,,,1,2,3,4,5
176,DUSP1_TPL,O,0.0,0,,8659,19389.0,,,1187.08292,1177.62468,15.0,66.0,,,,,1,2,3,4,5
177,DUSP1_TPL,O,0.0,0,,6529,8010.0,,,1302.0,1280.22147,21.0,33.0,,,,,1,2,3,4,5
178,DUSP1_TPL,O,0.0,0,,8624,12430.0,,,1439.05438,1403.59654,68.0,100.0,,,,,1,2,3,4,5
179,DUSP1_TPL,O,0.0,0,,7210,11973.0,,,1217.08877,1185.65322,35.0,39.0,,,,,1,2,3,4,5
180,DUSP1_TPL,O,0.0,0,,8002,16713.0,,,1181.09385,1110.06983,22.0,42.0,,,,,1,2,3,4,5
181,DUSP1_TPL,O,0.0,0,,7667,12785.0,,,1167.02961,1171.28932,15.0,21.0,,,,,1,2,3,4,5
182,DUSP1_TPL,O,0.0,0,,6652,11919.0,,,1047.06329,1048.30212,7.0,10.0,,,,,1,2,3,4,5
183,DUSP1_TPL,O,0.0,0,,7956,5669.0,,,982.05505,970.10654,6.0,14.0,,,,,1,2,3,4,5
184,DUSP1_TPL,O,0.0,0,,8435,18726.0,,,1230.42584,1235.43763,31.0,86.0,,,,,1,2,3,4,5
185,DUSP1_TPL,O,0.0,0,,8352,16382.0,,,1327.49952,1290.9599,27.0,46.0,,,,,1,2,3,4,5
186,DUSP1_TPL,O,0.0,0,,6254,10505.0,,,1294.79885,1281.67197,13.0,35.0,,,,,1,2,3,4,5
187,DUSP1_TPL,O,0.0,0,,8766,16514.0,,,1392.95049,1344.6678,45.0,67.0,,,,,1,2,3,4,5
188,DUSP1_TPL,O,0.0,0,,7422,10652.0,,,1339.36796,1306.79581,17.0,29.0,,,,,1,2,3,4,5
189,DUSP1_TPL,O,0.0,0,,8544,17103.0,,,1286.02364,1261.45472,10.0,46.0,,,,,1,2,3,4,5
190,DUSP1_TPL,O,0.0,0,,6892,15199.0,,,1278.46953,1238.61392,9.0,43.0,6.0,,,,1,2,3,4,5
